"rank","artist_names","track_name","peak_rank","previous_rank","weeks_on_chart","streams","track_id","popularity","duration"
51,"Ariana Grande","we can't be friends (wait for your love)",1,44,41,17336211,"51ZQ1vr10ffzbwIjDCwqm4",86,228639
52,"John Lennon, Yoko Ono","Happy Xmas (War Is Over) - Remastered 2010",13,70,37,17211484,"27RYrbL6S02LNVhDWVl38b",78,214333
53,"John Williams","Carol of the Bells",53,63,15,16823158,"4tHqQMWSqmL6YjXwsqthDI",77,85266
54,"The Neighbourhood","Sweater Weather",16,51,225,16730544,"0cQVqPuHQP4KEwc7ZUQmj6",67,240426
55,"Tito Double P","NADIE",37,45,4,16729489,"7sd6zMrgGpEa7NkQm9TRrg",88,197031
56,"Bruno Mars","Locked out of Heaven",23,59,132,16341476,"5g7sDjBhZ4I3gcFIpkrLuI",53,233653
57,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",20,64,8,16322362,"3tFed7YsjGnIfxeLEQwx3R",89,255915
58,"Sabrina Carpenter","A Nonsense Christmas",58,93,2,16177239,"7yogx3TwxGwSxO2QITsT2q",70,153099
59,"Djo","End of Beginning",3,42,44,16171814,"3qhlB30KknSejmIvZZLjOD",88,159245
60,"Bruno Mars","Just the Way You Are",34,67,102,16104806,"7BqBn9nzAq8spo5e7cZ0dJ",85,220734
61,"Hozier","Too Sweet",2,47,39,16102213,"19XpFsce28aByvCC4g89tJ",84,251424
62,"Feid, ATL Jacob","LUNA",9,58,54,15687749,"7bywjHOc0wSjGGbj04XbVi",88,196800
63,"Bruno Mars","That's What I Like",6,57,123,15641986,"0KKkJNfGyhkQ5aFogxQAPU",88,206693
64,"Shakin' Stevens","Merry Christmas Everyone",26,83,36,15451092,"2TE4xW3ImvpltVU0cPcKUn",77,220160
65,"Darlene Love","Christmas (Baby Please Come Home)",33,97,23,15412970,"47ohYW8e7dxCYn9qbUMBCI",74,166453
66,"Ed Sheeran, Elton John","Merry Christmas",23,108,15,15393652,"0hz5PNF2wejwUKCMpesQWt",71,208546
67,"Shaboozey","A Bar Song (Tipsy)",6,50,36,15284607,"5fZJQrFKWQLb7FpJXZ1g7K",82,171291
68,"V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)",29,54,3,15123171,"7G7mSV4BebkoHWwKTDvXu9",86,234895
69,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega","Presidente",44,62,8,15002222,"4OLT65TRsOx3Iv1TlCcQVb",87,181064
70,"Band Aid","Do They Know It's Christmas? - 1984 Version",12,143,37,14967239,"4Yg2w0P29BBBMixyeNjDtj",75,222533
71,"SZA","Kill Bill",1,82,106,14817404,"1Qrg8KqiBpW07V7PNxwwwL",85,153946
72,"Tito Double P, Peso Pluma","DOS DÍAS",31,60,16,14725249,"5lKFO0PrOC9jmOlPEdjHsL",87,153928
73,"Frank Sinatra, B. Swanson Quartet","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",19,91,39,14575012,"0SUKNXEqZnRw7g0NO139FM",73,155586
74,"Tito Double P","EL LOKERON",21,72,16,14067214,"6X6m4xmdFcz31p1h7Qg68c",86,145473
75,"Coldplay","Yellow",19,78,209,14018023,"3AJwUDP919kvQ9QcozQPxg",89,266773
76,"The Kid LAROI","NIGHTS LIKE THIS",41,73,26,13961473,"1XBYiRV30ykHw5f4wm6qEn",87,86983
77,"Bad Bunny","EL CLúB",36,36,2,13950077,"3zOgFY5kpQ6p2cwPIquZks",80,222568
78,"Linkin Park","The Emptiness Machine",6,68,15,13945216,"1EDPVGbyPKJPeGqATwXZvN",82,190427
79,"yung kai","blue",79,96,3,13856546,"3be9ACTxtcL6Zm4vJRUiPG",89,214357
80,"The Police","Every Breath You Take",77,85,158,13836069,"1JSTJqkT5qHq8MDJnJbRE1",88,253920
81,"Chuck Berry","Run Rudolph Run",52,110,24,13696586,"2pnPe4pJtq7689i5ydzvJJ",76,165733
82,"Chris Rea","Driving Home for Christmas - 2019 Remaster",21,119,35,13596215,"27qAMKrDdKEs8HDXcvR24R",70,241626
83,"Vance Joy","Riptide",30,95,201,13543907,"2uXlHCUbq9OMUwx3hrk06o",82,204280
84,"FloyyMenor, Cris Mj","Gata Only",3,69,45,13486267,"2esZG2XFtuoWWA9AfDvSxy",77,222000
85,"Taylor Swift","Cruel Summer",2,74,98,13337607,"1BxfuPKGuaTgP7aM0Bbdwr",88,178426
86,"One Direction","Night Changes",8,89,112,13238467,"5O2P9iiztwhomNh8xkR9lJ",86,226600
87,"Chase Atlantic","Swim",87,98,11,13208038,"3M0lSi5WW79CXQamgSBIjx",87,228786
88,"Elvis Presley","Blue Christmas",34,114,32,13118071,"3QiAAp20rPC3dcAtKtMaqQ",76,129173
89,"Mitski","My Love Mine All Mine",3,66,65,13112680,"3vkCueOmm7xQDoJ17W1Pm3",87,137773
90,"Kendrick Lamar","Not Like Us",2,71,33,12989725,"6AI3ezQ4o3HUoP6Dhudph3",87,274192
91,"Coldplay","Viva La Vida",31,102,121,12942404,"1mea3bSkSGXuIRvnydlB5b",86,242373
92,"Artemas","i like the way you kiss me",1,75,39,12886353,"3JG1uFc40wfyrqaWC7iv0e",80,142514
93,"Peso Pluma","gervonta",93,103,2,12868086,"0hfXHqWhOpbR9YQmQojDMN",86,167367
94,"Pentatonix","Hallelujah",70,126,15,12852848,"550rQQCGkrTzvp4SfpOPzx",70,268960
95,"SZA","Snooze",27,94,95,12829538,"4iZ4pt7kvcaH6Yo8UoZ4s2",87,201800
96,"The Goo Goo Dolls","Iris",40,90,68,12758740,"6Qyc6fS4DsZjB2mRW9DsQs",86,289533
97,"Tommy Richman","MILLION DOLLAR BABY",1,81,34,12752604,"5AJ9hqTS2wcFQCELCFRO7A",87,155151
98,"Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)",1,86,75,12750098,"2HRgqmZQC0MC7GeNuDIXHN",84,183550
99,"Laufey","Winter Wonderland - Spotify Singles Holiday",87,123,5,12706118,"1LmkdWSxjCV7wKTPsCvYWN",77,132800
100,"Burl Ives","Christmas Child",23,116,34,12679140,"21KeYjejBCDNNNyxtIP5pt",49,170000
101,"Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)",5,76,66,12672315,"42VsgItocQwOQC3XWZ8JNA",86,191700
102,"Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)",3,80,32,12670800,"5IZXB5IKAD2qlvTPJYDCFB",83,178205
103,"Linkin Park","In the End",22,92,71,12592248,"60a0Rd6pjrkxjPbaKzXjfq",85,216880
104,"Sabrina Carpenter","Bed Chem",9,84,17,12439185,"1UHS8Rf6h5Ar3CDWRd3wjF",87,171869
105,"Billie Eilish","CHIHIRO",5,99,31,12280023,"7BRD7x5pt8Lqa1eGYC4dzj",87,303440
106,"Nat King Cole","Deck The Hall",55,106,10,12265029,"0rHToGels2lt8Y0mCYoF90",75,68760
107,"Frank Sinatra","Have Yourself A Merry Little Christmas - Remastered 1999",96,157,6,12236204,"2FPfeYlrbSBR8PwCU0zaqq",75,206600
108,"Chezile","Beanie",108,132,5,12185910,"5e0b9LgOfi3aJSKXFcOWRe",87,132160
109,"The Weeknd, Daft Punk","Starboy",1,104,220,12157355,"7MXVkk9YMctZqd1Srtv4MB",87,230453
110,"Omar Courtz, De La Rose","Q U E V A S H A C E R H O Y ?",13,105,12,11999103,"0Sr7ssScx54yxdM2ols7nW",85,224022
111,"Elton John","Step Into Christmas - Remastered 1995",36,137,23,11998294,"11P4sSu6BH2lAbWk1sL6cK",74,272333
112,"Frank Sinatra","Jingle Bells - Remastered 1999",38,133,16,11995653,"4HEOgBHRCExyYVeTyrXsnL",72,120693
113,"Bing Crosby, The Andrews Sisters","Mele Kalikimaka (Merry Christmas)",80,184,5,11994178,"04vLj9QUXoKdRlsp3gkURo",75,175333
114,"ROSÉ","number one girl",46,52,4,11992066,"1lcBt7LoEikqYmhUoa2cez",82,216442
115,"The Beach Boys","Little Saint Nick - 1991 Remix",50,163,14,11864521,"5xlS0QkVrSH7ssEbBgBzbM",73,118840
116,"The Pogues, Kirsty MacColl","Fairytale of New York (feat. Kirsty MacColl)",47,160,30,11701154,"3VTNVsTTu05dmTsVFrmGpK",69,272466
117,"Cigarettes After Sex","Apocalypse",62,100,127,11676995,"0yc6Gst2xkRu0eMLeRMGCX",87,290616
118,"Kelly Clarkson, Ariana Grande","Santa, Can’t You Hear Me",54,173,10,11591112,"2O3MQ6H3gjrIWDcpeTrikT",74,242644
119,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","White Christmas - 1947 Version",26,-1,36,11542827,"3XsaSIPWvM61RIFfeb0BBR",76,183613
120,"Don Toliver","No Pole",102,112,6,11539503,"0eaVIYo2zeOaGJeqZ5TwYz",87,187613
121,"Charli xcx, Billie Eilish","Guess featuring billie eilish",5,121,20,11367002,"0IsIY8pfu1yaGkPUD7pkDx",80,143330
122,"Frank Ocean","Pink + White",67,107,83,11332213,"3xKsf9qdS1CyvXSMEid6g8",86,184516
123,"Peso Pluma, Neton Vega","LA PATRULLA",33,111,26,11323518,"2aYZaN5SmkRDLsrrV8GkBQ",83,130614
124,"Eartha Kitt, Henri René and His Orchestra","Santa Baby (with Henri René & His Orchestra)",48,159,18,11315790,"1foCxQtxBweJtZmdxhEHVO",74,206066
125,"Linkin Park","Numb",24,134,42,11246839,"2nLtzopw4rPReszdYBJU6h",86,187520
126,"Natanael Cano, Nueva H","Amapola",126,138,2,11236755,"43558Td2trz7O0chZYohEE",83,180693
127,"Arctic Monkeys","505",43,120,154,11207668,"58ge6dfP91o9oXMzq3XkIS",80,253586
128,"Tom Odell","Another Love",15,113,193,11179840,"7jtQIBanIiJOMS6RyCx6jZ",62,244360
129,"Chappell Roan","HOT TO GO!",22,122,27,11138840,"4xdBrk0nFZaP54vvZj0yx7",85,184841
130,"Arcane, Twenty One Pilots","The Line (from the series Arcane League of Legends)",100,-1,3,11137041,"1QJbDTZAO8rpGOMG4UahFM",80,192000
131,"FloyyMenor","PELIGROSA",26,135,19,10973191,"42wdz3j7gstgUuhoFLCXqd",81,134930
132,"The Weeknd","Blinding Lights",1,125,264,10953262,"0VjIjW4GlUZAMYd2vXMi3b",87,200040
133,"Britney Spears","My Only Wish (This Year)",55,200,25,10920328,"0YWUHZPJVg4iujddsJDwhM",74,255400
134,"Juice WRLD","Empty Out Your Pockets",88,88,3,10877535,"2QxekHjOYDnzNO5w8hu2D9",83,135653
135,"Cynthia Erivo, Ariana Grande","Defying Gravity",61,101,4,10845667,"5QMrH5nszZZR3nefIj6Mar",83,459766
136,"Hotel Ugly","Shut up My Moms Calling",78,158,102,10831706,"3hxIUxnT27p5WcmjGUXNwx",84,164571
137,"The Weeknd","Die For You",12,141,149,10795433,"2LBqCSwhJGcFQeTHMVGwy3",84,260253
138,"Eagles","Please Come Home for Christmas - 2013 Remaster",51,-1,8,10772955,"3QIoEi8Enr9uHffwInGIsC",75,177440
139,"Gunna","on one tonight",139,149,5,10701843,"6EUcP55GlbmsmCzfL2vxtZ",83,90760
140,"Tito Double P, Chino Pacas","ESCAPATE",39,136,15,10614403,"6HrALJOMsfPCCbUo5cJCON",85,144674
141,"Juice WRLD","Lucid Dreams",3,115,201,10608539,"285pBltuF7vW8TeWk8hdRR",85,239835
142,"Noah Kahan","Stick Season",6,109,63,10600901,"0mflMxspEfB0VbI1kyLiAv",86,182346
143,"JENNIE","Mantra",11,118,10,10585535,"2CspwnypzT7rcWI9RfsoSb",84,136627
144,"Tyla","PUSH 2 START",144,-1,1,10542277,"1Cbl3Yq8rHo7hhDQmLQagU",87,156825
145,"Tate McRae","greedy",1,127,66,10484492,"3rUGC1vUpkDG9CZFHMur1t",85,131872
146,"Gwen Stefani, Blake Shelton","You Make It Feel Like Christmas (feat. Blake Shelton)",88,-1,11,10467954,"2OQ6a4CfUeYskpTTgyawyJ",73,156773
147,"Billie Eilish, Khalid","lovely (with Khalid)",24,150,348,10461146,"0u2P5u6lvoDfwTYjAADbn4",86,200185
148,"The Walters","I Love You So",21,140,136,10439386,"4SqWKzw0CbA05TGszDgMlc",85,160239
149,"Mariah Carey","Christmas (Baby Please Come Home)",63,185,23,10434801,"3PIDciSFdrQxSQSihim3hN",74,153240
150,"Arctic Monkeys","No. 1 Party Anthem",114,130,6,10417582,"5TTGoX70AFrTvuEtqHK37S",87,243131
151,"Kendrick Lamar, SZA","All The Stars (with SZA)",2,162,79,10400523,"3GCdLUSnKSMJhs4Tj6CV3s",87,232186
152,"Vince Guaraldi Trio","Christmas Time Is Here",127,-1,3,10373295,"3bMfUUpzUzqWp9II00yRhE",68,163093
153,"Jorsshh, Fuerza Regida","ROSONES",153,193,2,10353544,"6x59lSlNU7TvsJZy7134uC",86,178079
154,"Teddy Swims","Bad Dreams",83,117,7,10326997,"3nHuKdFJZm78CoeBnDcFKe",86,184577
155,"Eminem","Without Me",31,147,169,10312383,"7lQ8MOhq6IN2w8EYcFNSUk",86,290320
156,"Miley Cyrus","Flowers",1,165,101,10304355,"7DSAEUvxU8FajXtRloy8M0",86,200600
157,"MC Tuto, DJ Glenner","Barbie",39,146,8,10226619,"6s1kzj4EbhFLXbuAGJbhbn",83,192755
158,"Sabrina Carpenter","Nonsense",17,144,100,10207297,"6dgUya35uo964z7GZXM07g",85,163648
159,"Dasha","Austin (Boots Stop Workin')",20,131,41,10179041,"2uqYupMHANxnwgeiXTZXzd",84,171782
160,"SZA","Nobody Gets Me",12,142,37,10177936,"5Y35SjAfXjjG0sFQ3KOxmm",85,180853
161,"Ed Sheeran","Shape of You",1,183,345,10172184,"7qiZfU4dY1lWllzX7mPBI3",85,233712
162,"The Chainsmokers, Coldplay","Something Just Like This",2,161,238,10162849,"6RUKPb4LETWmmr3iAEQktW",86,247160
163,"Mark Ambor","Run Rudolph Run - Spotify Singles Holiday",163,-1,1,10089877,"6pheMGrfMwwnypqafU7d4k",75,155846
